fundamental_value,benchmark_val,baseline_price,treatment_price
102.14516139158142,101.41505424875292,102.25849973161806,102.25849973161806
100.32235191477652,97.58384737388589,97.53598729061075,97.53598729061075
99.98674416178947,101.57661401405068,97.70259057200278,97.70259057200278
100.71713152532378,101.45387343882511,99.73173138604778,99.73173138604778
99.4369314526833,98.16703248470121,99.20416990621771,99.20416990621771
100.47997108561952,100.32954490573033,99.58281444940113,99.58281444940113
100.96623592390152,103.10884685520182,99.15612758949237,99.15612758949237
100.22261180900969,98.30489853750633,99.82038609600644,99.82038609600644
100.07586352051973,99.11773732597003,100.39688562906892,100.39688562906892
101.68316481589277,102.77876059095298,100.93053470079111,100.93053470079111
102.42668043455147,102.69641333253193,101.48268226302615,101.48268226302615
102.4305559799809,102.07990761520264,104.54219726877902,104.54219726877902
102.18227549865522,102.13690121229939,104.17044681911665,104.10589725074239
102.25547348137576,99.50617130684118,101.57255120883292,101.29451820822776
101.72841744807259,102.67291125385843,100.86488253495932,100.63337615576096
99.60468416301163,99.73187564656897,100.63766508803387,100.97106940794524
101.65461829462518,103.30747149217305,105.13900379849102,105.13269785146576
101.80754551388506,100.96106693675418,104.52033840358921,104.52542222495272
102.20858691986396,103.10454495892354,104.34392429320049,104.32688246931801
102.14431001734796,103.00427740953063,103.5810657611785,103.5780724160192
101.39111352299257,96.3367415899061,103.85393193129977,103.8695686060817
101.19771774446123,102.30833741494276,103.1433513717042,103.148218703008
99.58706204884214,97.26675823877363,101.92990414410794,101.4235090793786
101.87566733074931,102.59879190797817,101.6036004961854,100.89572246860462
100.62070001356727,99.20143330384832,101.79097368697644,101.71158925442084
99.58268849600884,99.16163513553089,101.06694190798451,101.05667213721614
99.14027308809573,99.43595640480073,101.35562467606808,101.33416629968377
100.42051352919539,100.09266777891521,101.3997767589894,101.40862984405332
100.43006296910733,100.68233732784446,102.07353530227545,102.08222211044688
99.19129281932668,99.72166383469899,94.73810524969666,94.74585744921794
100.43830114789397,100.07246643641764,99.56611393471893,99.57423018161397
101.17013719646397,104.08997213641159,103.50975439242076,103.50775787331021
101.71125604995572,101.89518051348666,102.31711430648423,102.3182366594198
102.43672780803514,101.84363887674833,103.4630681907978,103.45994380886054
104.91378706352556,106.96960692279595,106.6384941221167,106.63567061654896
107.22612113462233,106.39991830192587,107.03293173688654,107.03161425155969
106.48698092328608,106.59742449961351,106.29248419709626,106.2898659523926
108.22491227558456,108.37972048221071,107.63132409334092,107.62880453660233
108.63495931225569,108.18406050116114,108.94129700789867,108.93884488378369
109.17304834407729,111.12065325528096,108.51625446403386,108.38809415857554
107.33572234441749,107.77710712619835,108.28428834947266,107.43305998845338
107.14763575301586,107.28444592637906,107.44816586662826,107.02715574119088
106.27493056989972,106.10688423897815,107.92413010390132,106.69305546766047
107.15324531919019,107.14013726544596,107.41733915402702,106.63803386630349
108.30169600044279,109.41670512317758,109.21431190792048,108.41928311214136
106.07283179537981,105.90163789523855,108.2943387384596,107.50474869026165
106.04415902555526,105.19322518663948,108.99311706516936,108.2334281739919
107.23516397341749,110.05627638947645,108.31214113427976,107.73292416625007
107.02981359348965,105.97207145161674,108.95871546241243,108.37643857240828
107.80758996297406,107.89637795494998,109.68053852029736,109.17208374366503
108.18142928892101,108.72979991650169,110.23095287931943,108.96301724856023
108.54624689302032,109.44255686417156,109.44987673965393,109.00409056096572
108.24673134844622,108.26525589752194,111.58291090470843,111.13421907815814
106.9324538814672,107.07952839807714,111.28957773261402,110.83539590618908
105.73458738283948,105.11069707882527,110.69289232702545,110.23646947768364
106.4819605888635,105.4507678821394,107.43358889522949,107.42793002126227
106.49735713581619,107.12675025577092,107.01958102150911,107.04104178353852
106.34463000542245,107.50364580108352,106.45004805520811,106.31127637128594
105.88950516699632,104.14074227598194,107.40729493437605,107.43368863285
105.5615566262818,106.39452109597102,106.81275572286891,106.78399115843555
106.66716466362047,108.6984747653686,106.27432358618728,106.22819530076572
106.30485267064154,106.43873862605194,106.64931726115114,106.62451672195566
104.88350812991078,102.81788665271455,104.81750703235998,104.79989824787404
105.66110033879879,107.76056653923247,104.43855981420097,104.42863004722034
105.43957489282776,105.84617781724272,103.85311527583757,103.8450171571341
105.46741025476554,104.51922199894858,104.61142433822779,104.62726127694953
107.17122410226804,107.69219027627521,106.67901756268773,106.69405886297349
107.14383404074346,107.75892821382153,109.69373679486853,109.70775179255642
107.44875238270184,107.47286105232254,109.13804685266251,109.14155024257877
106.18414214239198,107.86930045817164,107.61583516227824,107.60517758048807
105.9458466006372,104.35194084817027,107.69595548284606,107.70627295376907
106.5882566487694,105.13833071260242,103.52389404941617,103.51915861946902
104.93799013458232,105.40856907596101,103.75046493866624,103.65355437238874
105.14370741692383,105.19386214939632,103.21728592049996,103.11599136326811
105.24447395704661,104.43375748904862,107.31165334325479,107.31813937712212
105.28267142881818,107.99117149906668,106.66270217309325,106.66740128118442
106.37498339081878,106.44631215755575,106.03506904843007,106.03805020595023
106.72600143311884,107.01358965709673,106.57565524372504,106.7546988862811
108.30978869171946,108.61726979195494,106.82271990055972,106.82507651417164
107.23360079019464,106.8328331059358,106.2191102650857,106.22497772258535
107.37408786392079,106.71213448583549,111.07655083561528,111.07453370336266
107.45944851315208,107.71312895107383,110.37481084165238,110.37474216963051
